id,partisan_score
480875170,-1
266580278,-1
9.72E+17,NA
39282932,-1
439321373,NA
263792623,1
3128563494,-0.821
54985685,0.93
106457836,-1
316578266,-0.949
282914879,-0.667
357398717,-0.714
27255837,-0.647
2355146755,-1
1292967632,-0.964
22818501,-0.7
3340065373,-0.822
8.63E+17,NA
512830524,-0.943
16685803,-0.556
1056716616,-1
938717942,-0.833
2558166399,-1
2742938653,-1
4292519659,NA
1308959575,1
18831926,-0.834
49362055,-0.714
7.73E+17,NA
2190688044,-1
54886540,-0.568
389528617,-0.769
2525412733,-0.5
4730403444,-1
2391614580,-0.739
128990886,NA
1567517016,0.25
1101812641,-0.929
29967129,-0.896
136371438,-1
30549907,-1
529008588,-1
1557980388,0
4606518792,-0.92
902528816,-0.532
9.32E+17,NA
2340774583,1
15886477,-0.959
332063391,-0.6
290362175,-0.965
39015033,-0.696
2933793124,-0.636
240866456,-0.909
87983041,-0.855
32283017,-0.963
3312762027,0.692
7.28E+17,NA
23284066,-1
22565926,-1
1284778632,-0.917
150547537,1
1924302038,-0.804
25701565,-0.922
2930709689,NA
612057704,-0.952
1852375052,-0.896
3144740240,-1
43998427,-0.818
860482585,1
373888316,0.111
1266323203,-0.905
144295341,NA
19555923,-1
589606816,-0.944
9.89E+17,NA
748362288,-1
2433516463,-0.833
1723778605,0.176
1934787661,-0.939
292468351,-1
413514250,-0.739
983264047,-0.547
156735072,-0.75
2604490724,-1
1733399636,1
344164709,-0.895
240557137,-1
760337274,-1
208582717,-0.655
2192010002,0.8
51001054,NA
258741909,-0.968
232801589,-1
85821611,0.6
3505560323,-0.912
977204844,-1
2329359954,-1
605667542,-0.905
1242542678,-0.9
14465282,NA
24051315,-0.767
2797839417,0.833
8.03E+17,NA
760395242,-1
8.95E+17,NA
2510607106,-0.833
2347323266,-0.733
139398305,0.652
246667561,-0.714
425580734,-0.842
3035076004,-0.703
47096359,-0.917
8.33E+17,NA
180111748,1
274405808,-1
273107148,NA
1690966824,-1
8.50E+17,NA
385689121,-0.912
607763133,NA
608772686,-1
187836067,-0.652
48959540,NA
1164062935,-0.907
3602064317,NA
