"id","partisan_score","misinfo_score","misinfo_score_weighted"
9.49e+17,NA,NA,NA
2795342280,1,0.69,0.709
491783777,0.5,0.705,0.819
8.18e+17,NA,NA,NA
3131529893,1,0.629,0.627
391429595,0,0.384,0.432
9.34e+17,NA,NA,NA
7.72e+17,NA,NA,NA
227849419,NA,NA,NA
133354942,0,0.551,0.541
735681727,1,0.766,0.82
43879871,NA,NA,NA
631139442,NA,NA,NA
9.93e+17,NA,NA,NA
43753976,0.918,0.707,0.682
247762193,1,0.738,0.769
608245511,1,0.805,0.786
2255130686,1,0.818,0.793
431766511,0.92,0.631,0.579
312651085,1,0.677,0.656
1320480823,1,0.892,0.866
3018963571,0.913,0.671,0.594
4244468878,1,0.762,0.815
776998171,0.918,0.627,0.659
8.11e+17,NA,NA,NA
1913262020,0.143,0.53,0.642
433301961,1,0.955,0.932
16481548,0.925,0.683,0.694
1078949226,0.857,0.652,0.711
63851303,0.867,0.705,0.731
466152563,1,0.725,0.697
2289423523,1,0.795,0.789
1625814116,-0.833,0.405,0.423
50948136,0.977,0.656,0.664
893034048,1,1,1
9.6e+17,NA,NA,NA
176119488,0.152,0.54,0.537
4812705753,NA,NA,NA
1123044792,NA,0,0
2952892291,0.915,0.677,0.716
1350080311,0.75,0.625,0.684
832170559,0.091,0.561,0.482
7.45e+17,NA,NA,NA
2398660411,0.8,0.788,0.832
45191622,1,0.702,0.714
2903825767,0.263,0.568,0.572
8.28e+17,NA,NA,NA
2884694243,1,0.778,0.812
2800466323,-0.111,0.643,0.658
579315942,0.8,0.632,0.644
9.56e+17,NA,NA,NA
24470923,1,0.835,0.958
14100537,0.333,0.681,0.72
3408756183,0.75,0.641,0.675
23962971,0.467,0.584,0.58
3006600919,NA,NA,NA
1057538984,0.833,0.746,0.768
8.86e+17,NA,NA,NA
1932684434,1,0.819,0.801
2581123969,0.926,0.669,0.675
399572379,1,0.48,0.507
231884040,-0.067,0.528,0.476
337576424,0.299,0.561,0.547
253043866,0.636,0.64,0.621
868549795,1,0.258,0.016
1060085888,1,0.684,0.665
3077435434,1,0.25,0.25
2464756524,NA,NA,NA
26307708,-1,0.492,0.501
1169110058,0.6,0.69,0.531
7.56e+17,NA,NA,NA
2842213440,1,0.665,0.639
7.22e+17,NA,NA,NA
4476034097,1,0.697,0.67
39686936,NA,NA,NA
309558781,0.667,0.731,0.76
92840551,0,0.469,0.538
538206913,NA,0.7,0.7
18608347,0.5,0.745,0.727
291176818,1,0.638,0.677
9.7e+17,NA,NA,NA
